alim_code,alim_ssgrp_nom_fr,source AJOUT,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
13004,légumes,,"Avocat, pulpe, cru",155,"1,61","3,67","13,8",1,4,"2,17","< 0,5","0,063","11,2","0,34","25,2",343,"0,46",0,"1,77","4,07"
20004,légumes,,"Bette ou blette, crue","12,3",1,"0,5","< 0,5","0,5","1,8","< 0,01",0,"0,57",25,"0,85",17,300,"0,07","< 0,25","0,25","3,08"
20009,légumes,,"Carotte, crue","36,4","0,77","6,45","0,26","5,42","2,7","0,054",0,"0,098","32,6","0,31","11,3",301,"0,22",0,"0,61","5,84"
20010,légumes,,Champignon tout type,"21,6","2,34","1,88","0,23","1,43","1,72","0,055",0,"0,012","7,78","0,69","10,9",341,"0,65","0,2","0,01","3,4"
20012,légumes,,"Salade, chicorée frisée","22,7","1,48","2,4","0,25","0,7","2,45","0,061",0,"0,077",76,"0,85","22,5",367,"0,61",0,"2,26","18,5"
20014,légumes,,"Chou rouge, cru","29,1","1,34","4,5","0,18","3,49","2,05","0,03",0,"0,047","44,8","0,63",15,268,"0,21",0,"0,09","58,5"
20016,légumes,,"Chou-fleur, cru",23,"1,77","2,05","0,31","1,56","2,13","0,088",0,"0,0092","26,4","0,41","11,9",293,"0,26",0,"0,14","56,6"
20019,légumes,,"Concombre, pulpe et peau","13,6","0,64","2,04","0,11","1,34","0,6","0,035",0,"0,012","19,2","0,13","13,6",157,"0,095",0,"0,09","8,25"
20020,légumes,,"Courgette, pulpe et peau","16,5","1,22","1,8","0,26","1,79","1,05","0,061",0,"0,017","18,7","0,36","17,5",262,"0,31",0,"0,12","17,5"
20022,légumes,,"Cresson de fontaine, cru","14,9","2,06","0,9","0,15","0,2","0,85","0,027",0,"0,13",101,"0,9",19,320,"0,16",0,1,"51,5"
20023,légumes,,"Céleri branche, cru","21,5","0,66","3,6","0,19","1,27","1,6","0,04",0,"0,2","48,4","0,3","9,5",289,"0,12",0,"0,24","6,05"
